contract,rule,severity,message,line
dataset\selected_contracts\reentrancy\reentrancy_dao.sol,avoid-call-value,Warning,"Avoid to use "".call.value()()""",18.0
dataset\selected_contracts\reentrancy\reentrancy_dao.sol,reason-string,Warning,Provide an error message for require,19.0
dataset\selected_contracts\reentrancy\reentrancy_dao.sol,,,,
dataset\selected_contracts\reentrancy\reentrancy_insecure.sol,compiler-version,Error,Compiler version ^0.5.0 does not satisfy the ^0.8.0 semver requirement,7.0
dataset\selected_contracts\reentrancy\reentrancy_insecure.sol,use-natspec,Warning,Missing @title tag in contract 'Reentrancy_insecure',9.0
dataset\selected_contracts\reentrancy\reentrancy_insecure.sol,contract-name-capwords,Warning,"Contract, Structs and Enums should be in CapWords",9.0
dataset\selected_contracts\reentrancy\reentrancy_insecure.sol,explicit-types,Warning,Rule is set with explicit type [var/s: uint],12.0
dataset\selected_contracts\reentrancy\reentrancy_insecure.sol,avoid-low-level-calls,Warning,Avoid to use low level calls.,17.0
dataset\selected_contracts\reentrancy\reentrancy_insecure.sol,avoid-call-value,Warning,"Avoid to use "".call.value()()""",17.0
dataset\selected_contracts\reentrancy\reentrancy_insecure.sol,reason-string,Warning,Provide an error message for require,18.0
dataset\selected_contracts\reentrancy\reentrancy_insecure.sol,,,,
dataset\selected_contracts\short_addresses\short_address_example.sol,compiler-version,Error,Compiler version ^0.4.11 does not satisfy the ^0.8.0 semver requirement,7.0
dataset\selected_contracts\short_addresses\short_address_example.sol,use-natspec,Warning,Missing @title tag in contract 'MyToken',9.0
dataset\selected_contracts\short_addresses\short_address_example.sol,state-visibility,Warning,Explicitly mark visibility of state,10.0
dataset\selected_contracts\short_addresses\short_address_example.sol,explicit-types,Warning,Rule is set with explicit type [var/s: uint],10.0
dataset\selected_contracts\short_addresses\short_address_example.sol,gas-indexed-events,Warning,GC: [_value] on Event [Transfer] could be Indexed,12.0
dataset\selected_contracts\short_addresses\short_address_example.sol,avoid-tx-origin,Error,Avoid to use tx.origin,15.0
dataset\selected_contracts\short_addresses\short_address_example.sol,func-visibility,Warning,Explicitly mark visibility in function,18.0
dataset\selected_contracts\short_addresses\short_address_example.sol,,,,
dataset\selected_contracts\time_manipulation\ether_lotto.sol,compiler-version,Error,Compiler version ^0.4.15 does not satisfy the ^0.8.0 semver requirement,8.0
dataset\selected_contracts\time_manipulation\ether_lotto.sol,use-natspec,Warning,Missing @author tag in contract 'EtherLotto',12.0
dataset\selected_contracts\time_manipulation\ether_lotto.sol,state-visibility,Warning,Explicitly mark visibility of state,15.0
dataset\selected_contracts\time_manipulation\ether_lotto.sol,explicit-types,Warning,Rule is set with explicit type [var/s: uint],15.0
dataset\selected_contracts\time_manipulation\ether_lotto.sol,func-visibility,Warning,Explicitly mark visibility in function,33.0
dataset\selected_contracts\time_manipulation\ether_lotto.sol,avoid-sha3,Warning,"Use ""keccak256"" instead of deprecated ""sha3""",43.0
dataset\selected_contracts\time_manipulation\ether_lotto.sol,not-rely-on-time,Warning,Avoid making time-based decisions in your business logic,43.0
dataset\selected_contracts\time_manipulation\ether_lotto.sol,reentrancy,Error,Possible reentrancy vulnerabilities. Avoid state changes after transfer.,55.0
dataset\selected_contracts\time_manipulation\ether_lotto.sol,,,,
dataset\selected_contracts\time_manipulation\governmental_survey.sol,one-contract-per-file,Warning,Found more than One contract per file. 2 contracts found!,8.0
dataset\selected_contracts\time_manipulation\governmental_survey.sol,compiler-version,Error,Compiler version ^0.4.0 does not satisfy the ^0.8.0 semver requirement,8.0
dataset\selected_contracts\time_manipulation\governmental_survey.sol,use-natspec,Warning,Missing @title tag in contract 'Governmental',10.0
dataset\selected_contracts\time_manipulation\governmental_survey.sol,explicit-types,Warning,Rule is set with explicit type [var/s: uint],13.0
dataset\selected_contracts\time_manipulation\governmental_survey.sol,var-name-mixedcase,Warning,Variable name must be in mixedCase ONE_MINUTE,15.0
dataset\selected_contracts\time_manipulation\governmental_survey.sol,avoid-throw,Warning,"""throw"" is deprecated, avoid to use it",19.0
dataset\selected_contracts\time_manipulation\governmental_survey.sol,func-visibility,Warning,Explicitly mark visibility in function,22.0
dataset\selected_contracts\time_manipulation\governmental_survey.sol,not-rely-on-time,Warning,Avoid making time-based decisions in your business logic,27.0
dataset\selected_contracts\time_manipulation\governmental_survey.sol,check-send-result,Warning,"Check result of ""send"" call",34.0
dataset\selected_contracts\time_manipulation\governmental_survey.sol,multiple-sends,Warning,"Avoid multiple calls of ""send"" method in single transaction",35.0
dataset\selected_contracts\time_manipulation\governmental_survey.sol,reentrancy,Error,Possible reentrancy vulnerabilities. Avoid state changes after transfer.,37.0
dataset\selected_contracts\time_manipulation\governmental_survey.sol,gas-strict-inequalities,Warning,GC: Non strict inequality found. Try converting to a strict one,46.0
dataset\selected_contracts\time_manipulation\governmental_survey.sol,,,,
dataset\selected_contracts\time_manipulation\lottopollo.sol,compiler-version,Error,Compiler version ^0.4.0 does not satisfy the ^0.8.0 semver requirement,7.0
dataset\selected_contracts\time_manipulation\lottopollo.sol,use-natspec,Warning,Missing @title tag in contract 'lottopollo',8.0
dataset\selected_contracts\time_manipulation\lottopollo.sol,contract-name-capwords,Warning,"Contract, Structs and Enums should be in CapWords",8.0
dataset\selected_contracts\time_manipulation\lottopollo.sol,state-visibility,Warning,Explicitly mark visibility of state,9.0
dataset\selected_contracts\time_manipulation\lottopollo.sol,explicit-types,Warning,Rule is set with explicit type [var/s: uint],10.0
dataset\selected_contracts\time_manipulation\lottopollo.sol,not-rely-on-time,Warning,Avoid making time-based decisions in your business logic,13.0
dataset\selected_contracts\time_manipulation\lottopollo.sol,check-send-result,Warning,"Check result of ""send"" call",14.0
dataset\selected_contracts\time_manipulation\lottopollo.sol,multiple-sends,Warning,"Avoid multiple calls of ""send"" method in single transaction",17.0
dataset\selected_contracts\time_manipulation\lottopollo.sol,gas-strict-inequalities,Warning,GC: Non strict inequality found. Try converting to a strict one,20.0
dataset\selected_contracts\time_manipulation\lottopollo.sol,reentrancy,Error,Possible reentrancy vulnerabilities. Avoid state changes after transfer.,21.0
dataset\selected_contracts\time_manipulation\lottopollo.sol,func-visibility,Warning,Explicitly mark visibility in function,25.0
dataset\selected_contracts\time_manipulation\lottopollo.sol,no-unused-vars,Warning,"Variable ""seed"" is unused",29.0
dataset\selected_contracts\time_manipulation\lottopollo.sol,,,,
dataset\selected_contracts\time_manipulation\roulette.sol,compiler-version,Error,Compiler version ^0.4.25 does not satisfy the ^0.8.0 semver requirement,7.0
dataset\selected_contracts\time_manipulation\roulette.sol,use-natspec,Warning,Missing @title tag in contract 'Roulette',9.0
dataset\selected_contracts\time_manipulation\roulette.sol,explicit-types,Warning,Rule is set with explicit type [var/s: uint],10.0
dataset\selected_contracts\time_manipulation\roulette.sol,no-empty-blocks,Warning,Code contains empty blocks,12.0
dataset\selected_contracts\time_manipulation\roulette.sol,no-complex-fallback,Warning,Fallback function must be simple,15.0
dataset\selected_contracts\time_manipulation\roulette.sol,reason-string,Warning,Provide an error message for require,16.0
dataset\selected_contracts\time_manipulation\roulette.sol,not-rely-on-time,Warning,Avoid making time-based decisions in your business logic,18.0
dataset\selected_contracts\time_manipulation\roulette.sol,,,,
dataset\selected_contracts\time_manipulation\timed_crowdsale.sol,compiler-version,Error,Compiler version ^0.4.25 does not satisfy the ^0.8.0 semver requirement,7.0
dataset\selected_contracts\time_manipulation\timed_crowdsale.sol,use-natspec,Warning,Missing @title tag in contract 'TimedCrowdsale',9.0
dataset\selected_contracts\time_manipulation\timed_crowdsale.sol,visibility-modifier-order,Warning,Visibility modifier must be first in list of modifiers,11.0
dataset\selected_contracts\time_manipulation\timed_crowdsale.sol,gas-strict-inequalities,Warning,GC: Non strict inequality found. Try converting to a strict one,13.0
dataset\selected_contracts\time_manipulation\timed_crowdsale.sol,not-rely-on-time,Warning,Avoid making time-based decisions in your business logic,13.0
dataset\selected_contracts\time_manipulation\timed_crowdsale.sol,,,,
dataset\selected_contracts\unchecked_low_level_calls\0x0cbe050f75bc8f8c2d6c0d249fea125fd6e1acc9.sol,compiler-version,Error,Compiler version ^0.4.10 does not satisfy the ^0.8.0 semver requirement,7.0
dataset\selected_contracts\unchecked_low_level_calls\0x0cbe050f75bc8f8c2d6c0d249fea125fd6e1acc9.sol,use-natspec,Warning,Missing @title tag in contract 'Caller',9.0
dataset\selected_contracts\unchecked_low_level_calls\0x0cbe050f75bc8f8c2d6c0d249fea125fd6e1acc9.sol,func-visibility,Warning,Explicitly mark visibility in function,10.0
dataset\selected_contracts\unchecked_low_level_calls\0x0cbe050f75bc8f8c2d6c0d249fea125fd6e1acc9.sol,avoid-low-level-calls,Warning,Avoid to use low level calls.,12.0
dataset\selected_contracts\unchecked_low_level_calls\0x0cbe050f75bc8f8c2d6c0d249fea125fd6e1acc9.sol,no-unchecked-calls,Warning,Return value of low-level call is not checked.,12.0
dataset\selected_contracts\unchecked_low_level_calls\0x0cbe050f75bc8f8c2d6c0d249fea125fd6e1acc9.sol,,,,
dataset\selected_contracts\unchecked_low_level_calls\0x3a0e9acd953ffc0dd18d63603488846a6b8b2b01.sol,one-contract-per-file,Warning,Found more than One contract per file. 3 contracts found!,7.0
dataset\selected_contracts\unchecked_low_level_calls\0x3a0e9acd953ffc0dd18d63603488846a6b8b2b01.sol,compiler-version,Error,Compiler version ^0.4.18 does not satisfy the ^0.8.0 semver requirement,7.0
dataset\selected_contracts\unchecked_low_level_calls\0x3a0e9acd953ffc0dd18d63603488846a6b8b2b01.sol,use-natspec,Warning,Missing @title tag in contract 'Ownable',9.0
dataset\selected_contracts\unchecked_low_level_calls\0x3a0e9acd953ffc0dd18d63603488846a6b8b2b01.sol,state-visibility,Warning,Explicitly mark visibility of state,11.0
dataset\selected_contracts\unchecked_low_level_calls\0x3a0e9acd953ffc0dd18d63603488846a6b8b2b01.sol,func-name-mixedcase,Warning,Function name must be in mixedCase,39.0
dataset\selected_contracts\unchecked_low_level_calls\0x3a0e9acd953ffc0dd18d63603488846a6b8b2b01.sol,avoid-low-level-calls,Warning,Avoid to use low level calls.,44.0
dataset\selected_contracts\unchecked_low_level_calls\0x3a0e9acd953ffc0dd18d63603488846a6b8b2b01.sol,no-unchecked-calls,Warning,Return value of low-level call is not checked.,44.0
dataset\selected_contracts\unchecked_low_level_calls\0x3a0e9acd953ffc0dd18d63603488846a6b8b2b01.sol,avoid-sha3,Warning,"Use ""keccak256"" instead of deprecated ""sha3""",44.0
dataset\selected_contracts\unchecked_low_level_calls\0x3a0e9acd953ffc0dd18d63603488846a6b8b2b01.sol,explicit-types,Warning,Rule is set with explicit type [var/s: uint],50.0
dataset\selected_contracts\unchecked_low_level_calls\0x3a0e9acd953ffc0dd18d63603488846a6b8b2b01.sol,var-name-mixedcase,Warning,Variable name must be in mixedCase MinDeposit,50.0
dataset\selected_contracts\unchecked_low_level_calls\0x3a0e9acd953ffc0dd18d63603488846a6b8b2b01.sol,func-visibility,Warning,Explicitly mark visibility in function,61.0
dataset\selected_contracts\unchecked_low_level_calls\0x3a0e9acd953ffc0dd18d63603488846a6b8b2b01.sol,gas-strict-inequalities,Warning,GC: Non strict inequality found. Try converting to a strict one,94.0
dataset\selected_contracts\unchecked_low_level_calls\0x3a0e9acd953ffc0dd18d63603488846a6b8b2b01.sol,avoid-call-value,Warning,"Avoid to use "".call.value()()""",97.0
dataset\selected_contracts\unchecked_low_level_calls\0x3a0e9acd953ffc0dd18d63603488846a6b8b2b01.sol,,,,
dataset\selected_contracts\unchecked_low_level_calls\0x3e013fc32a54c4c5b6991ba539dcd0ec4355c859.sol,compiler-version,Error,Compiler version ^0.4.18 does not satisfy the ^0.8.0 semver requirement,7.0
dataset\selected_contracts\unchecked_low_level_calls\0x3e013fc32a54c4c5b6991ba539dcd0ec4355c859.sol,use-natspec,Warning,Missing @title tag in contract 'MultiplicatorX4',9.0
dataset\selected_contracts\unchecked_low_level_calls\0x3e013fc32a54c4c5b6991ba539dcd0ec4355c859.sol,var-name-mixedcase,Warning,Variable name must be in mixedCase Owner,11.0
dataset\selected_contracts\unchecked_low_level_calls\0x3e013fc32a54c4c5b6991ba539dcd0ec4355c859.sol,visibility-modifier-order,Warning,Visibility modifier must be first in list of modifiers,17.0
dataset\selected_contracts\unchecked_low_level_calls\0x3e013fc32a54c4c5b6991ba539dcd0ec4355c859.sol,reason-string,Warning,Provide an error message for require,19.0
dataset\selected_contracts\unchecked_low_level_calls\0x3e013fc32a54c4c5b6991ba539dcd0ec4355c859.sol,func-name-mixedcase,Warning,Function name must be in mixedCase,23.0
dataset\selected_contracts\unchecked_low_level_calls\0x3e013fc32a54c4c5b6991ba539dcd0ec4355c859.sol,avoid-low-level-calls,Warning,Avoid to use low level calls.,29.0
dataset\selected_contracts\unchecked_low_level_calls\0x3e013fc32a54c4c5b6991ba539dcd0ec4355c859.sol,avoid-call-value,Warning,"Avoid to use "".call.value()()""",29.0
dataset\selected_contracts\unchecked_low_level_calls\0x3e013fc32a54c4c5b6991ba539dcd0ec4355c859.sol,no-unchecked-calls,Warning,Return value of low-level call is not checked.,29.0
dataset\selected_contracts\unchecked_low_level_calls\0x3e013fc32a54c4c5b6991ba539dcd0ec4355c859.sol,gas-strict-inequalities,Warning,GC: Non strict inequality found. Try converting to a strict one,36.0
dataset\selected_contracts\unchecked_low_level_calls\0x3e013fc32a54c4c5b6991ba539dcd0ec4355c859.sol,,,,
dataset\selected_contracts\unchecked_low_level_calls\0x3f2ef511aa6e75231e4deafc7a3d2ecab3741de2.sol,compiler-version,Error,Compiler version ^0.4.19 does not satisfy the ^0.8.0 semver requirement,7.0
dataset\selected_contracts\unchecked_low_level_calls\0x3f2ef511aa6e75231e4deafc7a3d2ecab3741de2.sol,use-natspec,Warning,Missing @title tag in contract 'WhaleGiveaway2',9.0
dataset\selected_contracts\unchecked_low_level_calls\0x3f2ef511aa6e75231e4deafc7a3d2ecab3741de2.sol,var-name-mixedcase,Warning,Variable name must be in mixedCase Owner,11.0
dataset\selected_contracts\unchecked_low_level_calls\0x3f2ef511aa6e75231e4deafc7a3d2ecab3741de2.sol,explicit-types,Warning,Rule is set with explicit type [var/s: uint],12.0
dataset\selected_contracts\unchecked_low_level_calls\0x3f2ef511aa6e75231e4deafc7a3d2ecab3741de2.sol,const-name-snakecase,Warning,Constant name must be in capitalized SNAKE_CASE,12.0
dataset\selected_contracts\unchecked_low_level_calls\0x3f2ef511aa6e75231e4deafc7a3d2ecab3741de2.sol,gas-strict-inequalities,Warning,GC: Non strict inequality found. Try converting to a strict one,25.0
dataset\selected_contracts\unchecked_low_level_calls\0x3f2ef511aa6e75231e4deafc7a3d2ecab3741de2.sol,visibility-modifier-order,Warning,Visibility modifier must be first in list of modifiers,33.0
dataset\selected_contracts\unchecked_low_level_calls\0x3f2ef511aa6e75231e4deafc7a3d2ecab3741de2.sol,reason-string,Warning,Provide an error message for require,35.0
dataset\selected_contracts\unchecked_low_level_calls\0x3f2ef511aa6e75231e4deafc7a3d2ecab3741de2.sol,func-name-mixedcase,Warning,Function name must be in mixedCase,39.0
dataset\selected_contracts\unchecked_low_level_calls\0x3f2ef511aa6e75231e4deafc7a3d2ecab3741de2.sol,avoid-low-level-calls,Warning,Avoid to use low level calls.,45.0
dataset\selected_contracts\unchecked_low_level_calls\0x3f2ef511aa6e75231e4deafc7a3d2ecab3741de2.sol,avoid-call-value,Warning,"Avoid to use "".call.value()()""",45.0
dataset\selected_contracts\unchecked_low_level_calls\0x3f2ef511aa6e75231e4deafc7a3d2ecab3741de2.sol,no-unchecked-calls,Warning,Return value of low-level call is not checked.,45.0
dataset\selected_contracts\unchecked_low_level_calls\0x3f2ef511aa6e75231e4deafc7a3d2ecab3741de2.sol,,,,
dataset\selected_contracts\unchecked_low_level_calls\0x4a66ad0bca2d700f11e1f2fc2c106f7d3264504c.sol,compiler-version,Error,Compiler version ^0.4.18 does not satisfy the ^0.8.0 semver requirement,7.0
dataset\selected_contracts\unchecked_low_level_calls\0x4a66ad0bca2d700f11e1f2fc2c106f7d3264504c.sol,use-natspec,Warning,Missing @title tag in contract 'EBU',9.0
dataset\selected_contracts\unchecked_low_level_calls\0x4a66ad0bca2d700f11e1f2fc2c106f7d3264504c.sol,explicit-types,Warning,Rule is set with explicit type [var/s: uint],13.0
dataset\selected_contracts\unchecked_low_level_calls\0x4a66ad0bca2d700f11e1f2fc2c106f7d3264504c.sol,reason-string,Warning,Provide an error message for require,14.0
dataset\selected_contracts\unchecked_low_level_calls\0x4a66ad0bca2d700f11e1f2fc2c106f7d3264504c.sol,gas-small-strings,Warning,GC: String exceeds 32 bytes,16.0
dataset\selected_contracts\unchecked_low_level_calls\0x4a66ad0bca2d700f11e1f2fc2c106f7d3264504c.sol,gas-increment-by-one,Warning,"GC: For [ i ] variable, increment/decrement by 1 using: [ ++variable ] to save gas",17.0
dataset\selected_contracts\unchecked_low_level_calls\0x4a66ad0bca2d700f11e1f2fc2c106f7d3264504c.sol,avoid-low-level-calls,Warning,Avoid to use low level calls.,19.0
dataset\selected_contracts\unchecked_low_level_calls\0x4a66ad0bca2d700f11e1f2fc2c106f7d3264504c.sol,no-unchecked-calls,Warning,Return value of low-level call is not checked.,19.0
dataset\selected_contracts\unchecked_low_level_calls\0x4a66ad0bca2d700f11e1f2fc2c106f7d3264504c.sol,,,,
